DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000047339 | BC_ST: 78.06 | BC_ICMS: 47.15 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 30.910000000000004 | ALIQ: 18.0 | CREDITO: 5.5638000000000005
PRODUTO: 00000000047552 | BC_ST: 205.81 | BC_ICMS: 109.22 | QTD: 3.0 | QTD_UTIL: 3.0 | BASE_PROP: 96.59 | ALIQ: 25.0 | CREDITO: 24.1475
PRODUTO: 00000000047552 | BC_ST: 110.44 | BC_ICMS: 58.61 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 51.83 | ALIQ: 25.0 | CREDITO: 12.9575
PRODUTO: 00000000047552 | BC_ST: 110.44 | BC_ICMS: 58.61 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 51.83 | ALIQ: 25.0 | CREDITO: 12.9575
PRODUTO: 00000000047552 | BC_ST: 1013.2 | BC_ICMS: 425.07 | QTD: 12.0 | QTD_UTIL: 6.0 | BASE_PROP: 294.06500000000005 | ALIQ: 25.0 | CREDITO: 73.51625000000001
PRODUTO: 00000000047553 | BC_ST: 57.68 | BC_ICMS: 30.61 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 27.07 | ALIQ: 25.0 | CREDITO: 6.7675
PRODUTO: 00000000047553 | BC_ST: 103.42 | BC_ICMS: 54.88 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 48.54 | ALIQ: 25.0 | CREDITO: 12.135
PRODUTO: 00000000047553 | BC_ST: 140.73 | BC_ICMS: 59.04 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 81.69 | ALIQ: 25.0 | CREDITO: 20.4225
PRODUTO: 00000000047553 | BC_ST: 140.73 | BC_ICMS: 59.04 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 81.69 | ALIQ: 25.0 | CREDITO: 20.4225
PRODUTO: 00000000047553 | BC_ST: 140.73 | BC_ICMS: 59.04 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 81.69 | ALIQ: 25.0 | CREDITO: 20.4225
PRODUTO: 00000000047596 | BC_ST: 19.55 | BC_ICMS: 11.51 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 8.040000000000001 | ALIQ: 18.0 | CREDITO: 1.4472
PRODUTO: 00000000047598 | BC_ST: 13.15 | BC_ICMS: 8.68 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.470000000000001 | ALIQ: 18.0 | CREDITO: 0.8046000000000001
PRODUTO: 00000000047598 | BC_ST: 47.4 | BC_ICMS: 28.43 | QTD: 3.0 | QTD_UTIL: 3.0 | BASE_PROP: 18.97 | ALIQ: 18.0 | CREDITO: 3.4145999999999996
PRODUTO: 00000000047599 | BC_ST: 28.68 | BC_ICMS: 18.93 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 9.75 | ALIQ: 18.0 | CREDITO: 1.755
