DEBUG ICMS ST - NORMAL

PRODUTO: 00000000047969 | BC_ST: 25.02 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 25.02 | ALIQ: 25.0 | CREDITO: 6.255
PRODUTO: 00000000047969 | BC_ST: 9.66 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 9.66 | ALIQ: 25.0 | CREDITO: 2.415
PRODUTO: 00000000048015 | BC_ST: 37.64 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 37.64 | ALIQ: 18.0 | CREDITO: 6.7752
PRODUTO: 00000000048058 | BC_ST: 119.49 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 119.49 | ALIQ: 18.0 | CREDITO: 21.5082
PRODUTO: 00000000048058 | BC_ST: 195.73 | QTD: 5.0 | QTD_UTIL: 5.0 | BC_PROP: 195.73000000000002 | ALIQ: 18.0 | CREDITO: 35.2314
PRODUTO: 00000000048059 | BC_ST: 40.92 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 40.92 | ALIQ: 18.0 | CREDITO: 7.3656
PRODUTO: 00000000048059 | BC_ST: 35.72 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 17.86 | ALIQ: 18.0 | CREDITO: 3.2148
PRODUTO: 00000000048060 | BC_ST: 2194.31 | QTD: 37.0 | QTD_UTIL: 37.0 | BC_PROP: 2194.31 | ALIQ: 18.0 | CREDITO: 394.9758
PRODUTO: 00000000048060 | BC_ST: 5495.78 | QTD: 96.0 | QTD_UTIL: 14.0 | BC_PROP: 801.4679166666666 | ALIQ: 18.0 | CREDITO: 144.26422499999998
PRODUTO: 00000000048062 | BC_ST: 107.22 | QTD: 7.0 | QTD_UTIL: 7.0 | BC_PROP: 107.22 | ALIQ: 18.0 | CREDITO: 19.299599999999998
PRODUTO: 00000000048062 | BC_ST: 368.28 | QTD: 9.0 | QTD_UTIL: 9.0 | BC_PROP: 368.28 | ALIQ: 18.0 | CREDITO: 66.29039999999999
PRODUTO: 00000000048062 | BC_ST: 491.04 | QTD: 12.0 | QTD_UTIL: 12.0 | BC_PROP: 491.04 | ALIQ: 18.0 | CREDITO: 88.3872
PRODUTO: 00000000048139 | BC_ST: 1789.01 | QTD: 17.0 | QTD_UTIL: 17.0 | BC_PROP: 1789.01 | ALIQ: 18.0 | CREDITO: 322.0218
PRODUTO: 00000000048139 | BC_ST: 1789.01 | QTD: 17.0 | QTD_UTIL: 9.0 | BC_PROP: 947.1229411764706 | ALIQ: 18.0 | CREDITO: 170.4821294117647
PRODUTO: 00000000048141 | BC_ST: 681.71 | QTD: 13.0 | QTD_UTIL: 13.0 | BC_PROP: 681.71 | ALIQ: 18.0 | CREDITO: 122.7078
PRODUTO: 00000000048141 | BC_ST: 157.32 | QTD: 3.0 | QTD_UTIL: 1.0 | BC_PROP: 52.44 | ALIQ: 18.0 | CREDITO: 9.4392
PRODUTO: 00000000048143 | BC_ST: 207.75 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 207.75 | ALIQ: 25.0 | CREDITO: 51.9375
PRODUTO: 00000000048143 | BC_ST: 394.01 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 394.01 | ALIQ: 25.0 | CREDITO: 98.5025
PRODUTO: 00000000048143 | BC_ST: 103.9 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 103.9 | ALIQ: 25.0 | CREDITO: 25.975
PRODUTO: 00000000048143 | BC_ST: 969.58 | QTD: 5.0 | QTD_UTIL: 1.0 | BC_PROP: 193.916 | ALIQ: 25.0 | CREDITO: 48.479
PRODUTO: 00000000048145 | BC_ST: 167.1 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 167.1 | ALIQ: 18.0 | CREDITO: 30.078
PRODUTO: 00000000048145 | BC_ST: 236.3 | QTD: 3.0 | QTD_UTIL: 1.0 | BC_PROP: 78.76666666666667 | ALIQ: 18.0 | CREDITO: 14.177999999999999
PRODUTO: 00000000048146 | BC_ST: 235.5 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 235.5 | ALIQ: 25.0 | CREDITO: 58.875
PRODUTO: 00000000048181 | BC_ST: 147.43 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 147.43 | ALIQ: 18.0 | CREDITO: 26.5374
PRODUTO: 00000000048253 | BC_ST: 565.46 | QTD: 16.0 | QTD_UTIL: 16.0 | BC_PROP: 565.46 | ALIQ: 18.0 | CREDITO: 101.78280000000001
PRODUTO: 00000000048280 | BC_ST: 379.66 | QTD: 8.0 | QTD_UTIL: 8.0 | BC_PROP: 379.66 | ALIQ: 18.0 | CREDITO: 68.3388
PRODUTO: 00000000048280 | BC_ST: 47.47 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 47.47 | ALIQ: 18.0 | CREDITO: 8.544599999999999
